filename,leftEyeX,leftEyeY,rightEyeX,rightEyeY,noseX,noseY
irface_sub001_seq02_frm00006.jpg_lfb.png,633,257,672,270,708,300
irface_sub001_seq02_frm00055.jpg_lfb.png,581,253,637,258,646,283
irface_sub001_seq02_frm00104.jpg_lfb.png,507,257,564,258,541,289
irface_sub001_seq02_frm00155.jpg_lfb.png,439,258,495,259,431,291
irface_sub001_seq02_frm00201.jpg_lfb.png,359,281,387,275,321,327
irface_sub001_seq02_frm00231.jpg_lfb.png,316,357,344,359,295,427
irface_sub001_seq02_frm00268.jpg_lfb.png,337,340,380,343,322,405
irface_sub001_seq02_frm00286.jpg_lfb.png,379,328,424,332,362,395
irface_sub001_seq02_frm00293.jpg_lfb.png,485,334,388,325,381,391
irface_sub001_seq02_frm00303.jpg_lfb.png,412,321,471,327,416,396
irface_sub001_seq02_frm00316.jpg_lfb.png,442,320,508,327,459,397
irface_sub001_seq02_frm00336.jpg_lfb.png,493,327,556,328,531,382
irface_sub001_seq02_frm00349.jpg_lfb.png,524,322,592,327,570,396
irface_sub001_seq02_frm00364.jpg_lfb.png,560,320,624,326,608,391
irface_sub001_seq02_frm00373.jpg_lfb.png,581,317,647,327,638,389
irface_sub001_seq02_frm00380.jpg_lfb.png,604,323,654,327,662,388
irface_sub001_seq02_frm00438.jpg_lfb.png,717,336,743,335,769,400
irface_sub001_seq02_frm00460.jpg_lfb.png,742,425,767,419,773,487
irface_sub001_seq02_frm00522.jpg_lfb.png,633,421,695,417,681,496
irface_sub001_seq02_frm00555.jpg_lfb.png,481,411,567,412,525,470
irface_sub001_seq02_frm00581.jpg_lfb.png,370,402,430,407,384,475
irface_sub001_seq02_frm00621.jpg_lfb.png,295,403,325,410,280,472
irface_sub001_seq03_frm00008.jpg_lfb.png,500,287,571,290,538,356
irface_sub001_seq03_frm00060.jpg_lfb.png,447,285,521,288,487,358
irface_sub001_seq03_frm00637.jpg_lfb.png,527,303,597,308,567,379
